transcript,category
"Hello, bhaiya main Swiggy se bol raha hoon. Aapka address nahi mil raha hai, Landmark kya hai? Gate ke paas aa gaya hoon.",DELIVERY
"Namaste, main ICICI Bank se baat kar rahi hoon. Aapka credit card dispatch ho gaya hai, address confirm kar lijiye.",BANK
"Beta main Mausaji bol raha hoon, naya number save kar lo. Ghar pe sab kaise hain? Mummy se baat karao.",FAMILY
"Congratulations! Your mobile number has won a lottery of 25 lakhs. Send your bank details to claim the reward immediately.",SCAM
"Good morning sir, looking for investment property in Gurgaon? We have a new launch with 10 percent assured return.",TELEMARKETER
"Main Dr. Sharma ke clinic se bol raha hoon. Aapka 4:30 PM ka appointment confirm hai, please time pe pahuch jana.",MEDICAL
"Namaste, main Income Tax department se bol raha hoon. Aapke refund process ke liye ek query hai, please portal check karein.",GOVERNMENT
"Bhaiya main Amazon delivery wala, aapke gate pe hoon. OTP bata dijiye parcel dena hai.",DELIVERY
"Aapka Bijli bill pay nahi hua hai, aaj raat 10 baje connection cut jayega. Turant is link pe click karke pay karein.",SCAM
"Hello, this is HDFC personal loan department. You are eligible for a pre-approved loan of 5 lakhs with low interest.",BANK
"Arre main Pinky ki mummy bol rahi hoon, ye mera naya number hai. Sabko de dena, purana wala band ho gaya hai.",FAMILY
"Sir, do you need life insurance? We have a special plan for senior citizens with tax benefits under 80C.",TELEMARKETER
"Aapki blood report ready hai sir. Aap online download kar sakte hain ya lab se collect kar lijiye.",MEDICAL
"This is an automated call from the Passport Office. Your application has been processed and dispatched via Speed Post.",GOVERNMENT
"Zomato delivery boy here. Sir main location pe hoon, aap please bahar aa jaiye. Khana thanda ho raha hai.",DELIVERY
"Main RBI se bol raha hoon, aapka account block hone wala hai. KYC update ke liye apna card number aur expiry bataiye.",SCAM
"Ji main Flipkart se bol raha hoon, aapka mobile delivery ke liye nikla hai. Kya aap ghar pe available hain?",DELIVERY
"Hello beta, main Chacha ji bol raha hoon. Phone kharab ho gaya tha toh naya liya hai, number note kar lo.",FAMILY
"Sir, main SBI se baat kar raha hoon. Aapke reward points expire ho rahe hain, redeem karne ke liye help chahiye?",BANK
"Good afternoon, looking for a personal loan or credit card? We have the best rates in the market right now.",TELEMARKETER
"Aapka Apollo hospital ka bill pending hai. Please pharmacy counter pe jaake clear kar dijiye.",MEDICAL
"Namaste, main Gram Panchayat office se bol raha hoon. Aapka Aadhar link process complete ho gaya hai.",GOVERNMENT
